disease,miRNA,disease_idx,miRNA_idx,label
Acquired Immunodeficiency Syndrome,hsa-mir-150,330,217,1
Acute Myocardial Infarction,hsa-mir-150,3,217,1
"Adenocarcinoma, Lung",hsa-mir-150,121,217,1
Adenovirus Infection,hsa-mir-150,444,217,1
Age-Related Macular Degeneration,hsa-mir-150,124,217,1
Allergic Asthma,hsa-mir-150,125,217,1
Aplastic Anemia,hsa-mir-150,129,217,1
Astrocytoma,hsa-mir-150,446,217,1
Atherosclerosis,hsa-mir-150,11,217,1
Atrial Fibrillation,hsa-mir-150,131,217,1
Autoimmune Diseases,hsa-mir-150,290,217,1
Bladder Neoplasms,hsa-mir-150,14,217,1
Brain Disease,hsa-mir-150,135,217,1
Breast Neoplasms,hsa-mir-150,15,217,1
Bronchopulmonary Dysplasia,hsa-mir-150,136,217,1
Burns,hsa-mir-150,726,217,1
"Carcinoma, Cervical",hsa-mir-150,141,217,1
"Carcinoma, Colon",hsa-mir-150,142,217,1
"Carcinoma, Hepatocellular",hsa-mir-150,18,217,1
"Carcinoma, Lung, Non-Small-Cell",hsa-mir-150,20,217,1
"Carcinoma, Ovarian",hsa-mir-150,150,217,1
"Carcinoma, Renal Cell",hsa-mir-150,21,217,1
"Carcinoma, Thyroid",hsa-mir-150,460,217,1
"Carcinoma, Thyroid, Papillary",hsa-mir-150,157,217,1
Cardiomegaly,hsa-mir-150,294,217,1
"Cardiomyopathy, Hypertrophic",hsa-mir-150,22,217,1
Cerebral Malaria,hsa-mir-150,162,217,1
Cervical Neoplasms,hsa-mir-150,163,217,1
Cholangiocarcinoma,hsa-mir-150,26,217,1
Chronic Heart Failure,hsa-mir-150,422,217,1
Chronic Kidney Disease,hsa-mir-150,167,217,1
Chronic Obstructive Pulmonary Disease,hsa-mir-150,168,217,1
Colon Neoplasms,hsa-mir-150,29,217,1
Colorectal Carcinoma,hsa-mir-150,30,217,1
Cutaneous Melanoma,hsa-mir-150,173,217,1
"Diabetes Mellitus, Type 1",hsa-mir-150,35,217,1
"Diabetes Mellitus, Type 2",hsa-mir-150,36,217,1
Diabetic Retinopathy,hsa-mir-150,300,217,1
Digeorge Syndrome,hsa-mir-150,538,217,1
Early-Stage Small-Cell Lung Carcinoma,hsa-mir-150,543,217,1
Endometriosis,hsa-mir-150,38,217,1
Endotoxemia,hsa-mir-150,760,217,1
Esophageal Neoplasms,hsa-mir-150,186,217,1
Ewing Sarcoma,hsa-mir-150,188,217,1
